Artist,Track,Loudness,Acousticness,Tempo,Url_youtube
Daft Punk,Around the World,-5.311,0.00356,121.294,https://www.youtube.com/watch?v=K0HSD_i2DvA
Daft Punk,"Harder, Better, Faster, Stronger",-8.898,0.0427,123.474,https://www.youtube.com/watch?v=gAjR4_CbPpQ
Daft Punk,Something About Us,-12.673,0.44,99.958,https://www.youtube.com/watch?v=sOS9aOIXPEk
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),-7.828,0.0839,100.163,https://www.youtube.com/watch?v=NF-kLy44Hls
Daft Punk,Veridis Quo,-13.928,0.479,106.896,https://www.youtube.com/watch?v=HhZaHf8RP6g
Daft Punk,Digital Love,-8.398,0.048,124.726,https://www.youtube.com/watch?v=FxzBvqY5PP0
Linkin Park,In the End,-5.87,0.00958,105.143,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Linkin Park,Numb,-4.153,0.0046,110.018,https://www.youtube.com/watch?v=kXYiU_JCYtU
Linkin Park,What I've Done,-5.285,0.0141,120.119,https://www.youtube.com/watch?v=8sgycukafqQ
Linkin Park,Numb / Encore,-4.254,0.0603,107.045,https://www.youtube.com/watch?v=DLlF2FMv968
Linkin Park,One Step Closer,-4.419,0.0014,95.136,https://www.youtube.com/watch?v=4qlCC1GOwFw
Linkin Park,Faint,-3.554,0.111,135.095,https://www.youtube.com/watch?v=LYU-8IFcDPw
Linkin Park,Bleed It Out,-3.647,0.114,140.127,https://www.youtube.com/watch?v=OnuuYcqhzCE
Linkin Park,Papercut,-3.994,0.00022,150.184,https://www.youtube.com/watch?v=vjVkXlxsO8Q
Linkin Park,Crawling,-5.565,0.0466,105.076,https://www.youtube.com/watch?v=Gd9OhYroLN0
Linkin Park,BURN IT DOWN,-4.45,0.0143,110.006,https://www.youtube.com/watch?v=dxytyRy-O1k
Radiohead,Creep,-9.935,0.0097,91.844,https://www.youtube.com/watch?v=XFkzRNyygfk
Radiohead,No Surprises,-10.654,0.0577,76.426,https://www.youtube.com/watch?v=u5CVsCnxyXg
Radiohead,Karma Police,-9.129,0.0638,74.807,https://www.youtube.com/watch?v=1uYWYWPc9HU
Radiohead,High and Dry,-11.782,0.0724,87.568,https://www.youtube.com/watch?v=AG6H5i1x5A0
Radiohead,Exit Music (For A Film),-11.357,0.224,121.603,https://www.youtube.com/watch?v=Bf01riuiJWA
Radiohead,Weird Fishes/ Arpeggi,-8.025,0.772,152.958,https://www.youtube.com/watch?v=TNRCvG9YtYI
Radiohead,Jigsaw Falling Into Place,-6.085,0.108,165.653,https://www.youtube.com/watch?v=GoLJJRIWCLU
Radiohead,Fake Plastic Trees,-12.592,0.167,73.543,https://www.youtube.com/watch?v=n5h0qHwNrHk
Radiohead,Just,-6.913,0.000401,175.702,https://www.youtube.com/watch?v=oIFLtNYI3Ls
Radiohead,Nude,-9.785,0.832,128.378,https://www.youtube.com/watch?v=BbWBRnDK_AE
AC/DC,Highway to Hell,-4.793,0.061,115.728,https://www.youtube.com/watch?v=l482T0yNkeo
AC/DC,Thunderstruck,-5.175,0.000147,133.52,https://www.youtube.com/watch?v=v2AC41dglnM
AC/DC,Back In Black,-5.678,0.011,188.386,https://www.youtube.com/watch?v=pAgnJDJN4VA
AC/DC,You Shook Me All Night Long,-5.509,0.00287,127.361,https://www.youtube.com/watch?v=Lo2qQmj0_h4
AC/DC,T.N.T.,-5.218,0.153,126.366,https://www.youtube.com/watch?v=44XYEeD1A1U
AC/DC,Hells Bells,-4.768,0.00532,106.767,https://www.youtube.com/watch?v=etAIpkdhU9Q
AC/DC,Dirty Deeds Done Dirt Cheap,-4.881,0.214,135.653,https://www.youtube.com/watch?v=jsjdjWGDvFk
AC/DC,Shoot to Thrill,-5.303,0.000239,141.038,https://www.youtube.com/watch?v=xRQnJyP77tY
AC/DC,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),-3.551,0.133,135.962,https://www.youtube.com/watch?v=j9Z39Uqybcw
AC/DC,Rock N Roll Train,-2.356,0.000998,118.4,https://www.youtube.com/watch?v=FrFvNphZ5BQ
Black Eyed Peas,I Gotta Feeling,-6.375,0.0873,127.966,https://www.youtube.com/watch?v=uSD4vsh1zDA
Black Eyed Peas,DON'T YOU WORRY,-5.282,0.176,131.971,https://www.youtube.com/watch?v=me19SUmWu2s
Black Eyed Peas,Where Is The Love?,-3.222,0.111,94.086,https://www.youtube.com/watch?v=WpYeekQkAdc
Black Eyed Peas,Just Can’t Get Enough,-8.685,0.186,94.05,https://www.youtube.com/watch?v=OrTyD7rjBpw
Black Eyed Peas,GIRL LIKE ME,-8.784,0.0206,124.025,https://www.youtube.com/watch?v=vMLk_T0PPbk
Black Eyed Peas,Pump It,-3.15,0.0093,153.645,https://www.youtube.com/watch?v=ZaI2IlHwmgQ
Black Eyed Peas,Pump It Louder,-2.273,0.00789,126.017,https://www.youtube.com/watch?v=H7qR7xvKFEU
Black Eyed Peas,Meet Me Halfway,-6.857,0.00474,130.002,https://www.youtube.com/watch?v=I7HahVwYpwo
Black Eyed Peas,RITMO (Bad Boys For Life),-6.968,0.0295,105.093,https://www.youtube.com/watch?v=EzKkl64rRbM
Black Eyed Peas,SIMPLY THE BEST,-6.047,0.203,126.042,https://www.youtube.com/watch?v=AbNOhZ1rsG8
Michael Jackson,Billie Jean,-9.62,0.0173,117.002,https://www.youtube.com/watch?v=Zi_XLOBDo_Y
Michael Jackson,Chicago,-2.675,0.0784,176.086,https://www.youtube.com/watch?v=xaYSqjvZjTs
Michael Jackson,Beat It,-9.03,0.0242,138.728,https://www.youtube.com/watch?v=oRdxUFDoQe0
Michael Jackson,Smooth Criminal - 2012 Remaster,-3.947,0.247,118.193,https://www.youtube.com/watch?v=q8w1d01Y2vY
Michael Jackson,Rock with You - Single Version,-12.521,0.179,114.031,https://www.youtube.com/watch?v=5X-Mrc2l1d0
Michael Jackson,Don't Stop 'Til You Get Enough,-9.875,0.126,118.881,https://www.youtube.com/watch?v=yURRmWtbTbo
Michael Jackson,They Don't Care About Us,-5.539,0.205,89.946,https://www.youtube.com/watch?v=QNJL6nfu__Q
Michael Jackson,Remember the Time,-2.383,0.153,108.002,https://www.youtube.com/watch?v=LeiFF0gvqcc
Michael Jackson,The Way You Make Me Feel - 2012 Remaster,-4.523,0.0544,114.472,https://www.youtube.com/watch?v=HzZ_urpj4As
Michael Jackson,Love Never Felt So Good,-6.212,0.132,117.513,https://www.youtube.com/watch?v=oG08ukJPtR8
P!nk,Just Give Me a Reason (feat. Nate Ruess),-7.273,0.346,95.002,https://www.youtube.com/watch?v=OpQFFLBMEPI
P!nk,Never Gonna Not Dance Again,-4.005,0.0273,113.796,https://www.youtube.com/watch?v=iqYK79jCssA
